Mes,Comparendos,Siniestros,Localidad,
ENE,50,60,Barrios_Unidos
FEB,65,-10,Barrios_Unidos
MAR,50,3,Barrios_Unidos
ABR,40,-20,Barrios_Unidos
MAY,37,-52,Barrios_Unidos
JUN,37,5,Barrios_Unidos
JUL,4,2,Barrios_Unidos
AGO,23,7,Barrios_Unidos
SEP,30,-26,Barrios_Unidos
