Mes,A2015,A2016,A2017,promedio
1,14153,27619,39036,26936
2,18342,39152,39017,32170
3,12358,32328,37916,27534
4,15813,34179,28360,26117
5,18794,29702,40712,29736
6,18770,28486,30500,25919
7,22118,23177,34192,26496
8,21909,28565,36438,28971
9,24273,32115,23204,26531
